"firstname","lastname","birthyear","zipcode","id.a","id.b"
"David","Brown",1970,10505,272,272
"David","Brown",1971,11746,6538,6538
"David","Brown",1971,19664,2372,2372
"David","Brown",1973,14634,1871,1871
"David","Brown",1974,14017,7171,7171
"David","Brown",1975,10777,7008,7008
"David","Brown",1975,16265,1344,1344
"David","Brown",1975,18685,3332,3332
"David","Brown",1976,11221,4374,4374
"David","Brown",1976,15831,1772,1772
"David","Brown",1976,18468,7976,7976
"David","Brown",1977,10352,4237,4237
"David","Brown",1978,17237,5611,5611
"David","Brown",1978,19183,6782,6782
"David","Brown",1978,19301,6767,6767
"David","Brown",1979,15864,905,905
"David","Brown",1980,10037,9076,9076
"David","Brown",1980,12873,1640,1640
"David","Brown",1981,12291,268,268
"David","Brown",1981,12702,2267,2267
"David","Brown",1984,11357,6269,6269
"David","Brown",1984,18964,8956,8956
"David","Brown",1985,14623,3925,3925
"David","Brown",1985,17720,5814,5814
"David","Brown",1986,11148,2940,2940
"David","Brown",1986,17152,6482,6482
"David","Brown",1986,18610,5341,5341
"David","Brown",1987,13144,4819,4819
"David","Brown",1988,12948,4283,4283
"David","Brown",1988,15765,2910,2910
"David","Brown",1988,15838,6861,6861
"David","Brown",1989,12122,9418,9418
"David","Brown",1989,12779,4292,4292
"David","Brown",1989,17902,9365,9365
"David","Brown",1989,19605,4738,4738
"David","Brown",1990,10422,9532,9532
"David","Brown",1993,13526,7543,7543
"David","Brown",1994,16713,3691,3691
"David","Brown",1994,17765,8282,8282
"David","Brown",1995,18785,7475,7475
"David","Brown",1996,11877,2394,2394
"David","Brown",1996,16288,4977,4977
"David","Brown",1996,17234,1412,1412
"David","Brown",1999,12271,5152,5152
"David","Brown",1999,13996,7842,7842
"David","Brown",1999,17833,6074,6074
"David","Brown",2000,11783,2164,2164
"David","Brown",2000,14053,7819,7819
"David","Davis",1970,11191,8724,8724
"David","Davis",1971,18472,8418,8418
"David","Davis",1972,11024,6774,6774
"David","Davis",1972,14191,4136,4136
"David","Davis",1972,15727,9885,9885
"David","Davis",1972,19876,7581,7581
"David","Davis",1973,14778,244,244
"David","Davis",1973,15656,7161,7161
"David","Davis",1973,18764,8962,8962
"David","Davis",1974,14486,8129,8129
"David","Davis",1974,17759,5989,5989
"David","Davis",1974,18258,1185,1185
"David","Davis",1975,18751,2341,2341
"David","Davis",1976,16827,9242,9242
"David","Davis",1976,19037,6173,6173
"David","Davis",1977,12210,1758,1758
"David","Davis",1977,19434,7932,7932
"David","Davis",1978,15898,1903,1903
"David","Davis",1979,14501,7750,7750
"David","Davis",1980,17096,7115,7115
"David","Davis",1982,15339,8765,8765
"David","Davis",1982,16529,7374,7374
"David","Davis",1982,16674,1869,1869
"David","Davis",1982,19268,4372,4372
"David","Davis",1983,10461,1218,1218
"David","Davis",1983,12483,9288,9288
"David","Davis",1983,13383,675,675
"David","Davis",1983,13385,4310,4310
"David","Davis",1983,15260,6740,6740
"David","Davis",1983,15543,6693,6693
"David","Davis",1984,13217,35,35
"David","Davis",1986,16918,4356,4356
"David","Davis",1987,15663,3842,3842
"David","Davis",1989,15319,5221,5221
"David","Davis",1990,17086,4330,4330
"David","Davis",1991,12876,8187,8187
"David","Davis",1992,14275,8955,8955
"David","Davis",1992,19556,9610,9610
"David","Davis",1993,11155,369,369
"David","Davis",1994,13495,3328,3328
