"id","firstname","lastname","birthyear","zipcode","gamma.1","gamma.2","gamma.3","gamma.4","posterior"
1,"Michael","Martinez",1984,19201,2,2,2,2,0.999606254813491
2,"Michael","Smith",1992,18881,2,2,2,2,0.999606254813491
3,"Olivia","Miller",1981,12543,2,2,2,2,0.999606254813491
4,"Jane","Williams",1982,11103,2,0,2,2,0.9851868388166
5,"Sarah","Smith",1986,17973,2,2,2,2,0.999606254813491
7,"Emily","Smith",1996,15704,2,2,2,2,0.999606254813491
8,"Sarah","Smith",1998,12445,2,2,2,2,0.999606254813491
9,"James","Johnson",1987,11533,2,2,2,2,0.999606254813491
10,"Olivia","Johnson",2000,12454,2,2,2,2,0.999606254813491
11,"David","Jones",1986,11394,2,2,2,2,0.999606254813491
12,"Michael","Miller",1975,15922,2,2,2,2,0.999606254813491
13,"James","Davis",1997,15865,2,2,2,2,0.999606254813491
14,"James","Davis",1980,15451,2,2,2,2,0.999606254813491
15,"James","Johnson",1985,19755,2,2,2,2,0.999606254813491
16,"Michael","Smith",1997,16361,2,2,2,2,0.999606254813491
17,"Emma","Williams",1977,12735,2,2,2,2,0.999606254813491
18,"Olivia","Johnson",1985,15754,0,2,2,2,0.985296268614473
19,"William","Smith",2000,15493,0,2,2,2,0.985296268614473
20,"Olivia","Rodriguez",1974,15428,2,2,2,2,0.999606254813491
22,"Michael","Smith",1989,15347,0,2,2,2,0.985296268614473
23,"Emily","Brown",1981,18910,2,2,2,2,0.999606254813491
25,"William","Johnson",1987,11864,2,2,2,2,0.999606254813491
26,"David","Miller",1983,14013,0,2,2,2,0.985296268614473
27,"Olivia","Davis",1983,15169,2,2,2,2,0.999606254813491
28,"William","Garcia",1977,19839,2,2,2,2,0.999606254813491
29,"James","Williams",1989,10166,2,2,2,2,0.999606254813491
30,"James","Johnson",1974,11668,2,0,2,2,0.9851868388166
31,"Olivia","Johnson",1992,14730,2,0,2,2,0.9851868388166
32,"William","Garcia",1989,13523,2,2,2,2,0.999606254813491
34,"William","Johnson",1985,16129,2,2,2,2,0.999606254813491
35,"David","Davis",1984,13217,2,2,2,2,0.999606254813491
36,"Sarah","Davis",1980,16937,2,2,2,2,0.999606254813491
37,"James","Jones",1995,13546,2,2,2,2,0.999606254813491
38,"Jane","Smith",1972,14570,2,2,0,2,0.953764941384782
39,"David","Johnson",1998,14383,2,0,2,2,0.9851868388166
40,"Emma","Garcia",1976,15603,2,0,2,2,0.9851868388166
41,"Jane","Brown",1995,13044,2,2,2,2,0.999606254813491
42,"John","Jones",1998,17559,2,0,2,2,0.9851868388166
43,"James","Johnson",1990,10295,2,2,2,2,0.999606254813491
44,"James","Jones",1974,17011,2,2,0,2,0.953764941384782
45,"Sarah","Miller",1971,14290,2,2,2,2,0.999606254813491
46,"David","Williams",1994,13563,2,2,2,2,0.999606254813491
47,"James","Smith",1987,12233,2,2,2,2,0.999606254813491
48,"Olivia","Martinez",1980,16813,2,0,2,2,0.9851868388166
49,"Emily","Johnson",1973,13224,2,2,0,2,0.953764941384782
51,"Emma","Smith",1978,17694,2,2,2,2,0.999606254813491
52,"Sarah","Miller",1999,14126,2,0,2,2,0.9851868388166
53,"Sarah","Smith",1970,13449,2,2,0,2,0.953764941384782
54,"William","Rodriguez",1972,19311,2,2,0,2,0.953764941384782
55,"John","Williams",1974,11215,2,0,2,2,0.9851868388166
56,"Sarah","Garcia",1996,19852,2,2,0,2,0.953764941384782
57,"Jane","Rodriguez",1996,14396,0,2,2,2,0.985296268614473
58,"John","Rodriguez",2000,10654,0,2,2,2,0.985296268614473
61,"David","Jones",1995,11458,2,2,2,2,0.999606254813491
62,"Sarah","Garcia",1992,17425,2,2,2,2,0.999606254813491
63,"Michael","Smith",1973,11292,2,0,2,2,0.9851868388166
65,"Emily","Miller",1987,14656,2,2,2,2,0.999606254813491
66,"Sarah","Garcia",1982,19547,0,2,2,2,0.985296268614473
67,"James","Williams",1970,12227,2,2,2,2,0.999606254813491
68,"James","Rodriguez",1982,16673,2,2,2,2,0.999606254813491
69,"William","Garcia",1981,12043,2,0,2,2,0.9851868388166
71,"Emma","Smith",1989,14708,2,0,2,2,0.9851868388166
72,"James","Johnson",1995,15179,2,2,2,2,0.999606254813491
74,"William","Rodriguez",2000,11045,2,2,0,2,0.953764941384782
75,"Michael","Miller",1989,19545,2,2,2,2,0.999606254813491
76,"William","Rodriguez",1996,15656,0,2,2,2,0.985296268614473
77,"Sarah","Garcia",1970,16542,2,0,2,2,0.9851868388166
78,"Olivia","Miller",1981,15878,2,2,0,2,0.953764941384782
79,"David","Williams",1980,17309,2,2,2,2,0.999606254813491
81,"Emma","Williams",1981,14938,2,0,2,2,0.9851868388166
82,"Michael","Jones",1978,14841,2,2,2,2,0.999606254813491
83,"Olivia","Jones",1984,15698,0,2,2,2,0.985296268614473
84,"Jane","Jones",1993,12344,2,2,0,2,0.953764941384782
86,"Jane","Williams",1970,13503,2,2,2,2,0.999606254813491
87,"Olivia","Garcia",1993,18458,2,2,0,2,0.953764941384782
88,"Sarah","Johnson",1988,17333,2,2,2,2,0.999606254813491
89,"Emily","Rodriguez",1973,17852,2,2,2,2,0.999606254813491
90,"John","Davis",1973,14299,2,2,2,2,0.999606254813491
91,"Sarah","Miller",1987,10139,2,2,2,2,0.999606254813491
92,"Michael","Jones",1997,18361,2,2,2,2,0.999606254813491
94,"Michael","Miller",1979,16576,2,0,2,2,0.9851868388166
95,"Emma","Garcia",1989,10656,2,2,0,2,0.953764941384782
96,"John","Miller",1981,17749,2,2,2,2,0.999606254813491
97,"William","Davis",1983,18488,0,2,2,2,0.985296268614473
98,"William","Martinez",1977,15637,2,2,2,2,0.999606254813491
99,"William","Brown",1991,18170,2,2,2,2,0.999606254813491
100,"Olivia","Johnson",1976,11916,2,2,2,2,0.999606254813491
102,"William","Rodriguez",1979,15312,2,2,0,2,0.953764941384782
103,"Olivia","Miller",1989,15619,2,2,2,2,0.999606254813491
104,"David","Rodriguez",1977,17290,2,2,2,2,0.999606254813491
105,"Sarah","Miller",1987,15805,0,2,2,2,0.985296268614473
106,"Emma","Williams",1980,17220,0,2,2,2,0.985296268614473
108,"William","Davis",1982,18973,2,2,2,2,0.999606254813491
109,"Emily","Miller",1979,19168,2,2,2,2,0.999606254813491
110,"Michael","Jones",1990,14620,2,2,2,2,0.999606254813491
111,"James","Johnson",1984,13723,2,2,0,2,0.953764941384782
112,"William","Martinez",1992,18121,2,2,2,2,0.999606254813491
113,"Sarah","Williams",1982,15819,2,2,2,2,0.999606254813491
114,"Olivia","Davis",1997,17199,0,2,2,2,0.985296268614473
115,"James","Rodriguez",1987,10468,2,2,0,2,0.953764941384782
117,"Jane","Rodriguez",1988,15910,2,2,0,2,0.953764941384782
118,"Michael","Martinez",1996,17566,2,2,2,2,0.999606254813491
119,"Emma","Davis",1975,19083,2,0,2,2,0.9851868388166
121,"William","Rodriguez",1994,15223,2,2,2,2,0.999606254813491
122,"Emily","Brown",1996,15880,2,2,0,2,0.953764941384782
123,"John","Miller",1992,12563,2,2,2,2,0.999606254813491
126,"James","Rodriguez",1999,17133,2,0,2,2,0.9851868388166
127,"Emma","Williams",1985,12615,0,2,2,2,0.985296268614473
128,"Sarah","Brown",1972,13665,2,2,2,2,0.999606254813491
129,"Emily","Johnson",1986,18798,2,2,2,2,0.999606254813491
130,"Emma","Smith",1980,15647,2,2,2,2,0.999606254813491
131,"Michael","Johnson",1997,15086,2,0,2,2,0.9851868388166
132,"Emily","Williams",1994,16910,0,2,2,2,0.985296268614473
133,"Emily","Miller",1994,10443,2,0,2,2,0.9851868388166
134,"Sarah","Brown",1978,12385,2,2,2,2,0.999606254813491
135,"John","Johnson",1992,19875,2,2,0,2,0.953764941384782
136,"Olivia","Jones",1986,19825,2,2,2,2,0.999606254813491
137,"Emily","Martinez",1994,14372,2,2,2,2,0.999606254813491
138,"James","Brown",1974,14963,2,2,0,2,0.953764941384782
139,"William","Martinez",2000,16147,0,2,2,2,0.985296268614473
140,"Emma","Williams",1972,15543,2,2,2,2,0.999606254813491
141,"David","Jones",1972,13942,2,2,2,2,0.999606254813491
